OBJECTID,Shape_Leng,Shape_Area,District,County,Sub County,Parish,Village,Region,Pop_2020,HHs_2020
52662,9254.877471,2363056.294,Kamwenge,Kibale,Kamwenge Town Council,Kamwenge,Karambi,Western,,
52663,8176.809456,2145060.136,Kamwenge,Kibale,Kahunge,Kiyagara,Kasojo,Western,,
52664,21672.04814,17738625.69,Kamwenge,Kibale,Nkoma,Nkoma,Bulegeya Ii,Western,,
52665,6951.551131,2384353.887,Kamwenge,Kibale,Bwizi,Bwizi,Kabakuuta,Western,,
52666,6251.433289,1321174.566,Kamwenge,Kibale,Kabambiro,Nyamashegwa,Burenge,Western,,
52667,12213.31628,2824311.168,Kamwenge,Kitagwenda,Nyabbani,Nyarurambi,Nyarurambi B,Western,,
52668,10425.41503,4185342.305,Kamwenge,Kitagwenda,Nyabbani,Nyarurambi,Nyarurambi A,Western,,
52669,7490.825801,1925629.115,Kamwenge,Kitagwenda,Buhanda,Kitooma,Kanywambogo I,Western,,
52670,6888.062576,2566418.997,Kamwenge,Kibale,Kabambiro,Kebisingo,Kebisingo Iii,Western,,
52671,4273.547581,1214635.427,Kamwenge,Kibale,Kamwenge Town Council,Masaka,Kabingo Ii,Western,,
52672,9213.49762,3249022.94,Kamwenge,Kibale,Kahunge,Kiyagara,Kicungiro,Western,,
52673,7845.978239,3063249.184,Kamwenge,Kibale,Kahunge,Rwenkuba,Byabasiita,Western,,
52674,8337.541137,2089552.602,Kamwenge,Kitagwenda,Mahyoro,Kanyabikyere,Rwetuuma,Western,,
52675,7352.918836,2154022.132,Kamwenge,Kitagwenda,Mahyoro,Bukurungo,Kabale Iii,Western,,
52676,7160.272082,1396184.659,Kamwenge,Kitagwenda,Nyabbani,Nganiko,Rwesigire Iii,Western,,
52677,7115.046703,2746366.388,Kamwenge,Kitagwenda,Ntara,Kabale,Kabale,Western,,
52678,11828.04157,4361907.826,Kamwenge,Kibale,Kahunge,Kiyagara,Miyoora I,Western,,
52679,6736.089835,2625864.583,Kamwenge,Kibale,Busiriba,Kanimi,Nyamiribiko,Western,,
52680,8702.075617,3972432.293,Kamwenge,Kibale,Biguli,Biguli,Buhumuriro,Western,,
52681,7467.662771,2980282.328,Kamwenge,Kibale,Biguli,Kabuye,Kagaati,Western,,
52682,8907.459718,3643304.047,Kamwenge,Kibale,Kahunge,Kiyagara,Miyoora Ii,Western,,
52683,7093.871162,1701205.348,Kamwenge,Kibale,Kamwenge,Kakinga,Businge,Western,,
52684,6429.978703,2186324.179,Kamwenge,Kibale,Busiriba,Bujongobe,Kyakagunga,Western,,
52685,12869.25268,7106628.347,Kamwenge,Kibale,Kahunge,Kyakanyemera,Kyerima Ii,Western,,
52686,5309.408621,1271736.237,Kamwenge,Kitagwenda,Kicheche,Kigoto,Nyaruzinga,Western,,
52687,4704.248924,1391412.378,Kamwenge,Kitagwenda,Buhanda,Kakasi,Iryangabi  Iii,Western,,
52688,13242.29345,9037886.977,Kamwenge,Kitagwenda,Mahyoro,Mahyoro,Bubaale,Western,,
52689,5114.389574,1277740.65,Kamwenge,Kitagwenda,Ntara,Kabale,Kyandema,Western,,
52690,6332.839376,2053642.323,Kamwenge,Kitagwenda,Kicheche,Bwera,Rwemiigo,Western,,
52691,8514.948525,3792035.317,Kamwenge,Kitagwenda,Nyabbani,Rwenjaza,Rukinga B,Western,,
52692,11102.10901,6306758.491,Kamwenge,Kitagwenda,Nyabbani,Rwenjaza,Rukinga A,Western,,
52693,9285.116051,3583833.066,Kamwenge,Kibale,Bwizi,Kyakaitaba,Nyabubare,Western,,
52694,6917.450205,1932556.96,Kamwenge,Kibale,Bwizi,Ntonwa,Kikiri,Western,,
52695,7879.770254,2608983.331,Kamwenge,Kibale,Kahunge,Rwenkuba,Kihura Ii,Western,,
52696,8442.149465,3493548.453,Kamwenge,Kibale,Kahunge,Kyakanyemera,Omukagoro,Western,,
52697,7846.761185,3086721.76,Kamwenge,Kibale,Kamwenge,Ganyenda,Ganyenda I,Western,,
52698,4635.012492,799644.0092,Kamwenge,Kitagwenda,Mahyoro,Nyakasura,Burembo,Western,,
52699,5456.599113,1308769.411,Kamwenge,Kitagwenda,Kicheche,Kigoto,Mirembe,Western,,
52700,8522.637456,4177153.666,Kamwenge,Kibale,Nkoma,Mabaale,Kahara,Western,,
52701,9623.242269,3064214.642,Kamwenge,Kibale,Busiriba,Kinoni,Rwanjale,Western,,
52702,7605.953459,3316021.173,Kamwenge,Kibale,Nkoma,Kaberebere,Kakinga,Western,,
52703,10083.90472,2964466.286,Kamwenge,Kitagwenda,Ntara,Kicwamba,Kaburaisokye,Western,,
52704,9092.833328,3482711.031,Kamwenge,Kibale,Biguli,Kabuye,Katonga Game Reserve,Western,,
52705,5968.738361,1926406.9,Kamwenge,Kitagwenda,Ntara,Ntara,Ntara A,Western,,
52706,5534.148117,1390256.789,Kamwenge,Kitagwenda,Ntara,Ntara,Ntara B,Western,,
52707,15717.54315,9767000.283,Kamwenge,Kibale,Bwizi,Bwizi,Bwizi,Western,,
52708,6884.073448,1806177.507,Kamwenge,Kibale,Kabambiro,Kabambiro,Nyarurambi,Western,,
52709,7633.623242,2739835.195,Kamwenge,Kitagwenda,Ntara,Kicwamba,Kyaruhinga,Western,,
52710,6850.861708,2510537.203,Kamwenge,Kibale,Kabambiro,Nyamashegwa,Kengoma Ii,Western,,
52711,8495.0863,3740884.65,Kamwenge,Kitagwenda,Ntara,Kicwamba,Nyakateramire,Western,,
52712,10417.52981,4218896.58,Kamwenge,Kibale,Biguli,Kampala B,Nyakatooma,Western,,
52713,6050.645205,1730331.813,Kamwenge,Kibale,Kahunge,Kyakanyemera,Kyamakoba,Western,,
52714,7611.764008,2046796.815,Kamwenge,Kitagwenda,Mahyoro,Kanyabikyere,Karokarungi,Western,,
52715,10338.2845,5034247.703,Kamwenge,Kitagwenda,Nyabbani,Nyarurambi,Nyamabale,Western,,
52716,7711.062805,2265435.223,Kamwenge,Kibale,Nkoma,Bisozi,Kajwamushana,Western,,
52717,7151.419078,2700234.918,Kamwenge,Kibale,Busiriba,Bigodi,Bigobi,Western,,
52718,7582.917636,3125128.2,Kamwenge,Kibale,Biguli,Malere,Nyakabungo,Western,,
52719,9266.896224,3938830.118,Kamwenge,Kibale,Kabambiro,Iruhura,Rushango Ii,Western,,
52720,13119.22198,7344803.012,Kamwenge,Kibale,Nkoma,Nkoma,Bulegeya I,Western,,
52721,5892.896502,2068968.676,Kamwenge,Kitagwenda,Kicheche,Kigoto,Kigoro,Western,,
52722,7445.82273,2509762.176,Kamwenge,Kibale,Busiriba,Bujongobe,Nyabihara,Western,,
52723,5738.650381,1676609.75,Kamwenge,Kibale,Busiriba,Kahondo,Kamarere,Western,,
52724,7956.07938,3894169.83,Kamwenge,Kitagwenda,Mahyoro,Nyakeera,Iharagatwa,Western,,
52725,9409.832594,3983292.913,Kamwenge,Kibale,Kahunge,Nyakahama,Mirembe,Western,,
52726,13207.1892,9218472.541,Kamwenge,Kibale,Nkoma,Nkoma,Rwemburara,Western,,
52727,5763.563827,1436364.308,Kamwenge,Kitagwenda,Nyabbani,Kamayenje,Karokarungi,Western,,
52728,5759.476572,1700072.153,Kamwenge,Kibale,Kahunge,Rugonjo,Bunyonyi I,Western,,
52729,3167.668056,593484.5551,Kamwenge,Kibale,Biguli,Kabuye,Nyakatookye,Western,,
52730,6390.05557,2238061.809,Kamwenge,Kibale,Busiriba,Bigodi,Busimba,Western,,
52731,13015.1836,6408554.372,Kamwenge,Kibale,Kamwenge Town Council,Kaburaisoke,Kaburaisoke Ii,Western,,
52732,6283.576579,1449028.88,Kamwenge,Kitagwenda,Kicheche,Ruhunga,Nyabikamba Iii,Western,,
52733,4210.936,584315.323,Kamwenge,Kitagwenda,Ntara,Kicwamba,Kicwamba Central,Western,,
52734,6524.220803,2089656.001,Kamwenge,Kibale,Busiriba,Bujongobe,Mabono,Western,,
52735,5046.183518,1605659.203,Kamwenge,Kitagwenda,Nyabbani,Nganiko,Rwesigire,Western,,
52736,14107.97139,8461075.425,Kamwenge,Kibale,Biguli,Biguli,Nyabubale,Western,,
52737,12114.14663,6055810.995,Kamwenge,Kitagwenda,Mahyoro,Kanyabikyere,Kanyabikere,Western,,
52738,8125.685229,2455664.506,Kamwenge,Kitagwenda,Ntara,Ntara,Kagoma,Western,,
52739,10762.52868,4009480.918,Kamwenge,Kibale,Nkoma,Bisozi,Mukole Ii,Western,,
52740,8571.140341,3076399.173,Kamwenge,Kibale,Biguli,Kampala B,Ibuga,Western,,
52741,6790.265629,2189294.424,Kamwenge,Kibale,Kahunge,Rugonjo,Bigaga Ii,Western,,
52742,4900.344092,1370611.782,Kamwenge,Kitagwenda,Kanara,Kigarama,Kigarama,Western,,
52743,7780.020008,2737166.947,Kamwenge,Kitagwenda,Buhanda,Nyakasenyi,Muzira,Western,,
52744,7570.979113,2177250.252,Kamwenge,Kibale,Biguli,Kampala B,Kanyomyo,Western,,
52745,5193.008314,1456121.875,Kamwenge,Kibale,Kabambiro,Nyamashegwa,Nyamashegwa I,Western,,
52746,7138.660863,2205653.429,Kamwenge,Kibale,Busiriba,Kanimi,Koburungi,Western,,
52747,3070.133203,501088.6294,Kamwenge,Kitagwenda,Kicheche,Bwera,Bwenteke,Western,,
52748,10984.96489,5923363.058,Kamwenge,Kibale,Kamwenge,Kakinga,Kakinga Ii,Western,,
52749,11781.91053,5109389.33,Kamwenge,Kibale,Kamwenge Town Council,Kaburaisoke,Kaburaisoke I,Western,,
52750,9298.93788,4571870.524,Kamwenge,Kibale,Biguli,Malere,Butamba,Western,,
52751,8505.882709,3139275.218,Kamwenge,Kibale,Kahunge,Mpanga,Mpanga Iii,Western,,
52752,9424.942396,2428078.806,Kamwenge,Kitagwenda,Nyabbani,Rwenkubebe,Rwenkubebe B,Western,,
52753,11983.31166,7337242.663,Kamwenge,Kitagwenda,Nyabbani,Rwenkubebe,Rwenkubebe A,Western,,
52754,10870.84287,5814759.765,Kamwenge,Kibale,Bwizi,Bwizi,Kamusenene,Western,,
52755,6162.379533,1426763.73,Kamwenge,Kibale,Bihanga,Kabingo,Buhumuriro,Western,,
52756,6312.270318,2277829.891,Kamwenge,Kibale,Bihanga,Kabingo,Kabingo,Western,,
52757,7197.443467,2065091.648,Kamwenge,Kitagwenda,Kicheche,Kantozi,Nyakabingo,Western,,
52758,6990.708499,2487003.806,Kamwenge,Kitagwenda,Buhanda,Bujumiro,Bujumiro,Western,,
52759,9249.325795,3331436.578,Kamwenge,Kitagwenda,Mahyoro,Kyendangara,Kitoomi,Western,,
52760,7507.549061,2544926.065,Kamwenge,Kibale,Kahunge,Mpanga,Kabosya,Western,,
52761,8540.085604,3020797.765,Kamwenge,Kitagwenda,Buhanda,Kakasi,Nsinda I,Western,,
52762,4702.623763,1073241.989,Kamwenge,Kitagwenda,Kicheche,Bwera,Bwera Ii,Western,,
52763,5037.940747,1427752.084,Kamwenge,Kibale,Biguli,Kampala B,Rwakasirabo,Western,,
52764,8155.594384,3854725.017,Kamwenge,Kitagwenda,Nyabbani,Rwenkubebe,Nyabbani B,Western,,
52765,8502.157176,2480332.755,Kamwenge,Kitagwenda,Nyabbani,Rwenkubebe,Nyabbani A,Western,,
52766,6560.346615,2111330.075,Kamwenge,Kibale,Busiriba,Kahondo,Kipucu,Western,,
52767,4226.480003,1074338.102,Kamwenge,Kitagwenda,Kicheche,Kagazi,Rwamusambo,Western,,
52768,5049.916383,1474673.613,Kamwenge,Kibale,Bwizi,Kyakaitaba,Rutooma,Western,,
52769,7362.44965,2036401.599,Kamwenge,Kibale,Kahunge,Kiyagara,Rwebikwato Iii B,Western,,
52770,6724.798689,2287936.702,Kamwenge,Kibale,Nkoma,Nkoma,Kinyonza,Western,,
52771,9555.534159,2207618.34,Kamwenge,Kibale,Kamwenge,Nkongoro,Kasoga Ii,Western,,
52772,5728.874722,1778395.979,Kamwenge,Kibale,Bihanga,Kabingo,Katebe,Western,,
52773,7320.859459,2829871.35,Kamwenge,Kibale,Nkoma,Bisozi,Rwamanyonyi,Western,,
52774,7041.082176,2576682.095,Kamwenge,Kibale,Kahunge,Rwenkuba,Kanyamutwe I,Western,,
52775,10194.77737,5438512.527,Kamwenge,Kibale,Bwizi,Ntonwa,Omubihwa,Western,,
52776,6842.774823,1903625.71,Kamwenge,Kitagwenda,Buhanda,Nyabihoko,Mitwe,Western,,
52777,6528.706922,2091106.843,Kamwenge,Kitagwenda,Mahyoro,Kitonzi,Nyanga Ii,Western,,
52778,5620.950423,1742164.281,Kamwenge,Kitagwenda,Kicheche,Ruhunga,Nyabikamba I,Western,,
52779,13739.99045,10233936.71,Kamwenge,Kibale,Nkoma,Nkoma,Kyembango,Western,,
52780,4761.491519,992255.6582,Kamwenge,Kibale,Bwizi,Bwizi,Rutabo Ii,Western,,
52781,11926.31518,7356234.786,Kamwenge,Kitagwenda,Mahyoro,Mahyoro,Kyamubinga,Western,,
52782,8346.232381,2463943.971,Kamwenge,Kibale,Bwizi,Kyakaitaba,Kiboota,Western,,
52783,10128.96139,3432628.918,Kamwenge,Kibale,Biguli,Kampala B,Soweto,Western,,
52784,9452.292081,3860077.482,Kamwenge,Kibale,Bihanga,Bihanga,Kanara I,Western,,
52785,6493.344217,1736603.753,Kamwenge,Kibale,Kamwenge,Kakinga,Buhumuriro,Western,,
